id,name,typecode,addr,gcj,wgs,cell_id,wgs_lng,wgs_lat,kind
B0JKPKTN4G,木木公寓(古宜路分店),100200,古宜路上海宜德苑18(宜山路地铁站出入口步行150米),"121.426738,31.185072","121.422107,31.186942",6403,121.422107,31.186942,hotel
B0LKNLRCUH,乐窝公寓(中山西路店),100200,中山西路与宜山路交叉口西140米,"121.425225,31.183175","121.420592,31.185045",6403,121.420592,31.185045,hotel
B00154DRW6,技贸大厦2号楼,100104,中山西路1525号(宜山路地铁站5号口步行320米),"121.424112,31.18694","121.419477,31.188807",6403,121.419477,31.188807,hotel
B0LD04ZBE2,上海外滩的欢乐麻将民宿(光大会展中心·漕河泾地区三店),100200,内环高架路入口与中山西路交叉口西南160米,"121.420425,31.187425","121.415786,31.189288",6403,121.415786,31.189288,hotel
B00155R4RR,如家快捷酒店(上海徐家汇交通大学宜山路店),100100,宜山路250弄12号(宜山路地铁站2号口步行490米),"121.429235,31.189114","121.424607,31.190985",6403,121.424607,31.190985,hotel
B0LDO4S3JP,悦遥酒店式公寓,100100,中山西路与宜山路交叉口西60米,"121.425775,31.182625","121.421143,31.184495",6403,121.421143,31.184495,hotel
B0MBK6OKBJ,南甜美宿(上海体育场店),100200,中山西路与宜山路交叉口西60米,"121.425825,31.182675","121.421193,31.184545",6403,121.421193,31.184545,hotel
B0K29LZLFE,三姐的民宿(光大会展中心·漕河泾地区一店),100200,中山西路与宜山路交叉口西60米,"121.425811,31.182659","121.421179,31.184529",6403,121.421179,31.184529,hotel
B0MB5RL8RB,上海阿启民宿(徐家汇店),100200,宜山路与柿子湾路交叉口西南80米,"121.428625,31.187325","121.423996,31.189196",6403,121.423996,31.189196,hotel
B0K3TZT9AE,会合·柚米国际宾馆(宜山路店),100100,明园小安桥11号楼,"121.422931,31.184585","121.418295,31.186452",6403,121.418295,31.186452,hotel
B0L3ASSCBE,日门筑家,100200,凯旋路与宜山路交叉口东80米,"121.428975,31.185675","121.424347,31.187548",6403,121.424347,31.187548,hotel
B0LUX7IAYL,男神青年旅舍(北科大厦店),100201,中山西路与宜山路交叉口西北120米,"121.425975,31.183775","121.421343,31.185645",6403,121.421343,31.185645,hotel
B0FFHPFA0F,庆丰里Cheers,060101|060102,陈家山路志平时尚旅店西侧(嘉定西地铁站7号口旁),"121.227663,31.376862","121.223217,31.378819",4138,121.223217,31.378819,mall
B0FFFP10Y8,上海嘉定区志平旅馆,100200|100100,菊园新区柳梁路55弄1号11层,"121.228617,31.376685","121.224172,31.378643",4138,121.224172,31.378643,hotel
B0LBLUD8NA,庆丰里Cheers西区,060101,陈家山路与胜辛路交叉口东北120米(嘉定西地铁站7号口旁),"121.227675,31.376825","121.223229,31.378782",4138,121.223229,31.378782,mall
B0JGBR5IR3,源尚酒店(嘉定西地铁站店),100100,嘉定西站陈家山路1608号(嘉定西地铁站6号口步行200米),"121.229497,31.376964","121.225052,31.378922",4138,121.225052,31.378922,hotel
B0FFM2CZ81,上海骏骏爸爸的小屋(7号店),100100,民悦街胜悦嘉苑东苑,"121.227725,31.372225","121.223279,31.374183",4138,121.223279,31.374183,hotel
B0FFGC09UX,悠活城酒店式公寓楼,100100,庆丰里Cheers(嘉定西地铁站6号口步行60米),"121.228722,31.376753","121.224277,31.378711",4138,121.224277,31.378711,hotel
B0L16NR13U,京京民宿(嘉定西地铁站店),100200,陈家山路与柳梁路交叉口西60米,"121.228725,31.376775","121.224280,31.378733",4138,121.22428,31.378733,hotel
B0JU7ZHW7I,源尚客房部,100200,陈家山路1608号(11号线嘉定西站旁),"121.229525,31.376976","121.225080,31.378934",4138,121.22508,31.378934,hotel
B0L0C7Z6TV,柚米寓,100200,竹笛路与柳梁路交叉口南180米,"121.230925,31.373325","121.226482,31.375285",4138,121.226482,31.375285,hotel
B0JGNHUSW3,住宿(暂停营业),100200,沪宜公路4445号,"121.229129,31.369743","121.224685,31.371703",4138,121.224685,31.371703,hotel
B0J377PKCZ,实惠之家民宿(奉贤区二店),100200,四团镇安泰路77弄1号,"121.727288,30.898673","121.722943,30.900883",9927,121.722943,30.900883,hotel
B0HUO5HDE7,驿发精品公寓,100200,平福路1090号,"121.725932,30.897309","121.721588,30.899521",9927,121.721588,30.899521,hotel
B0JAPU1EI7,晴天租房,100200,安泰路与平谊路交叉口南40米,"121.727434,30.898955","121.723089,30.901164",9927,121.723089,30.901164,hotel
B0JUO1FRGU,出租房,100200,上海海港综合经济开发区安逸路29号隔壁,"121.72545,30.898596","121.721107,30.900807",9927,121.721107,30.900807,hotel
B0FFFR0PVM,夏威夷广场,060102,召楼路2370弄,"121.538163,31.063192","121.533876,31.065406",7786,121.533876,31.065406,mall
B0M66PA33C,IDJ爱电竞酒店(上海浦江召稼楼古镇店),100100,江文路121弄37号,"121.544631,31.064171","121.540362,31.066399",7786,121.540362,31.066399,hotel
B0FFILAVVI,岚雨酒店(上海闵行浦江镇店),100100,召楼路2370弄夏威夷广场1号楼御府泉水疗馆5层,"121.538267,31.063632","121.533980,31.065846",7786,121.53398,31.065846,hotel
B0J23D8KKF,泰林公寓可长租可短租,100200,江文路121弄15栋别墅,"121.545053,31.064041","121.540785,31.066270",7786,121.540785,31.06627,hotel
B00157GGNR,鑫尚商务宾馆,100100,江文路459号5楼(国美电器旁边的楼上),"121.537538,31.061063","121.533249,31.063277",7786,121.533249,31.063277,hotel
B0IK1LT66G,暖居公寓(江文路汇驰路店),100200|120000,江文路121弄20栋,"121.545049,31.063484","121.540781,31.065714",7786,121.540781,31.065714,hotel
B0L06SNMX9,海派·公寓,100200,浦江镇江文路121弄60号海派公寓9栋,"121.544218,31.063769","121.539948,31.065997",7786,121.539948,31.065997,hotel
B0FFKWS6RA,九亭金地广场,060102,沪亭北路99弄(九亭地铁站4号口步行370米),"121.318483,31.139704","121.313970,31.141695",5128,121.31397,31.141695,mall
B0FFJ042AC,上海虹桥机场九亭天地美居酒店,100105,九亭镇蒲汇路178弄5号楼,"121.324123,31.139943","121.319597,31.141923",5128,121.319597,31.141923,hotel
B0G1R52G8G,汉庭酒店(上海九亭地铁站店),100105,沪亭南路888号(九亭地铁站1号口步行450米),"121.324139,31.137648","121.319613,31.139629",5128,121.319613,31.139629,hotel
B0JUVM6V9Q,上海中泰广场,060101,沪亭路与蒲汇支路交叉口东60米,"121.323523,31.138279","121.318998,31.140261",5128,121.318998,31.140261,mall
B0K1H5LQHJ,上海环岛酒店(九亭地铁站店),100100,沪松公路1399弄39号(九亭地铁站1号口步行200米),"121.321493,31.137849","121.316973,31.139835",5128,121.316973,31.139835,hotel
